ID;NAME;FORM;STREET;POSTBOX;POSTCODE;CITY;COUNTRY;REGION;TELEPHONE;CUSTTYPE;DISCOUNT;LANGU;EMAIL;WEBUSER
1;SAP AG;Firma;Dietmar-Hopp-Allee 16;;69190;Walldorf;DE;;06227-34-0;B;10;DE;info@sap.de;
2;Andreas Klotz;Herr;Pimpinellenweg 9;;69190;Walldorf;DE;;05344-676792;P;20;DE;Andreas.Klotz@sap.com;
3;Hans Bullinger;Herr;Veilchenstrabe 12;;69119;Heidelberg;DE;;02099-44591;P;0;DE;Hansi@Bulli.de;
4;Staerck;Frau;Kaiserstr. 55;;69115;Heidelberg;DE;;07508-66-7886;P;0;DE;Farbenblind@gmx.de;
5;Martin;Mister;44 Harolds Road;;L07 1AZ;Liverpool;GB;;;P;0;EN;Steve.Martin@hool.uk;
6;Starr;Miss;74 Kings Road;;L07 3BC;Liverpool;GB;;;P;0;EN;FCStar@unio.uk;
7;King;Mister;Hyde Park 7;;M21 7AB;Manchester;GB;;;P;0;EN;Burger@King.com;
8;Moore;Company;;A-312;SW3 4DE;London;GB;;;P;0;EN;Moore@abc.net;
9;Everton FC;;Sir Wellington Road;;L08 5RZ;Liverpool;GB;;332-5678-0;B;0;EN;Football.Liverpool@sports.com;
10;Raupp;Herr;Glockenblumenweg 5;;8002;Zuerich;CH;;;P;0;DE;HelmutDanielaRaupp@swiss.ch;
11;Ballmann;Herr;Ballmanns Leiden 7;;69115;Heidelberg;DE;;;P;0;DE;Ball@mann.net;
12;Radetzky;Frau;Mozartstr. 102;;1000;Wien;AT;;;P;0;DE;Radetzky@Marsch.at;
13;Mueller;Firma;;44321;68159;Mannheim;DE;;;B;0;DE;Vitamine@mueller.net;
14;Genee;Herr;Albrecht-Duerer-Str. 4;;50733;Koeln;DE;;;P;0;DE;Mausklick@cologne.net;
15;Soehnen;Herr;Veilchenstr. 6;;01099;Dresden;DE;;;P;0;DE;Pastor.Soehnen@kirche.de;
16;Leihinger Brauerei;Firma;Leopoldsgasse 3;;80339;Muenchen;DE;;;B;5;DE;Gutes-Bier@gluck-gluck.de;
17;Ruthenberg;Frau;Hirschheimer Str. 6A;;69118;Heidelberg;DE;;;P;0;DE;Briefkasten@ruthi.de;
18;Miller;Herr;Am Sandberg 17;;46539;Dinslaken;DE;;;P;0;EN;MisterMiller@box.com;
19;Plum;Herr;Dudenhoeferweg 26;;69493;Grobsachsen;DE;;;P;0;DE;Feuerrot@asdf.net;
20;Becker;Herr;Wimbledonallee 6;;69181;Leimen;DE;;;P;0;DE;Tennisarm@sabrina.de;
21;SAP Oesterreich;Firma;;25;1221;Wien;AT;;;B;10;DE;info@sap.at;
22;SAP (Schweiz) AG;Firma;Leugenestr. 6;1305;2500;Biel;CH;;;B;10;DE;info@sap.ch;
23;SAP America Inc.;;701 Lee Road;;PA 19113;Philadelphia;US;PA;;B;15;EN;info@sap.us.com;
24;SAP Thailand;;287 Silom Road, Bangrak;;10500;Bangkok;TH;;;B;5;TH;;
25;SAP Australia PTY.LTD.;;168 Walker Street;;NSW 2060;Sydney;AU;;;B;0;EN;;
26;SAP Belgium SA;;2, Bld. de la Woluwe;;1150;Brussels;BE;;;B;5;FR;;
27;SAP Canada Inc.;;4120 Yonge Street;;M2P 2B8;North York Ontario;CA;;;B;5;EN;info@sap.ca;
28;SAP Danmark A/S;;Rinnager 4B;;2605;Broendy/Copenhagen;DK;;;B;5;DA;info@sap.dk;
29;SAP France SA;;10 Avenue des Olympiades;;94132;Fontenay-Sous-Bois;FR;;;B;10;FR;info@sap.fr;
30;SAP Italy SPA;;Palazzo Orione 3;;20041;Agrate Brianza/Milano;IT;;;B;10;IT;;
31;SAP Nederland B.V.;;Bruistensingel 400;;5232;AG'S Hertogenbosch;NL;;;B;5;NL;;
32;SAP Espana y Portugal S.A;;Av. da Libertade, 245-9C;;1250;Lisabon;ES;;;B;10;ES;;
33;Rolf Lau;Herr Dr.;Antoniusweg 17;;69120;Heidelberg;DE;;;P;0;DE;Brillenfrosch@physikus.de;
34;Juergen Stahl;Herr Prof. Dr.;Wuselbert-Ring 2;;68222;Mannheim;DE;;;P;0;DE;RomaAeterna@laura.de;
35;Brucher;Herr;Bergstr. 20;;69133;Heidelberg;DE;;;P;0;DE;Brucher@mail.net;
36;Maggie Faratti;Ms;14 Oak Lane;;10583;Scarsdale;US;NY;914-723-0915;P;0;EN;faratti@pipeline.com;
37;Dampf;Herr;Robert-Bosch-Str. 4;;10883;Berlin;DE;;;P;0;DE;HansDampf@centigrade.com;
38;Rolf-Dietmar Huder;Frau;Im Studienseminar 11;;10452;Berlin;DE;;;P;0;DE;knallkopf@musik.de;
39;Forks Manufacturing GmbH;Firma;Gabelstraße 55-100;;27563;Hamburg;DE;;;B;5;DE;;
40;Electronic Components Dis;;Tower Lane;;94404;Foster City;US;;;B;9;EN;;
